node_id,name,in_degree,out_degree,degree
Iron_Lad,Iron Lad,2,4,6
Iron_Man_(Ultimate_Marvel_character),Iron Man (Ultimate Marvel character),1,5,5
Iron_Man_2020,Iron Man 2020,4,3,6
Isaiah_Bradley,Isaiah Bradley,0,7,7
Jack_Frost_(Marvel_Comics),Jack Frost (Marvel Comics),1,7,7
Jack_Monroe_(character),Jack Monroe (character),3,4,4
Janice_Lincoln,Janice Lincoln,1,4,5
Jean_Grey,Jean Grey,23,12,24
Jean_Grey_(X-Men_film_series),Jean Grey (X-Men film series),1,5,5
Jeffrey_Mace,Jeffrey Mace,7,1,8
Jericho_Drumm,Jericho Drumm,13,7,15
Jessica_Jones,Jessica Jones,8,14,18
John_Jameson_(character),John Jameson (character),9,7,14
Jubilee_(character),Jubilee (character),10,10,15
Junior_Juniper,Junior Juniper,0,2,2
Justice_(New_Universe),Justice (New Universe),2,5,6
Karnak_(character),Karnak (character),4,7,10
Kid_Colt,Kid Colt,3,2,4
Killpower,Killpower,2,2,3
Killraven,Killraven,2,5,7
Kismet_(Marvel_Comics),Kismet (Marvel Comics),3,9,9
Korvus,Korvus,3,4,4
Kristoff_Vernard,Kristoff Vernard,4,4,8
Leech_(character),Leech (character),2,4,6
Lei_Kung_(character),Lei Kung (character),3,3,4
Living_Lightning,Living Lightning,3,5,6
Luke_Cage,Luke Cage,25,9,28
Machine_Man,Machine Man,6,12,14
Magician_(Marvel_Comics),Magician (Marvel Comics),1,3,3
Mahr_Vehl,Mahr Vehl,0,1,1
Makkari_(character),Makkari (character),5,1,6
Man-Thing,Man-Thing,15,12,20
Mania_(character),Mania (character),1,7,7
Mark_Hazzard:_Merc,Mark Hazzard: Merc,0,1,1
Marvel_Boy_(Robert_Grayson),Marvel Boy (Robert Grayson),2,2,3
Mayday_Parker,Mayday Parker,14,14,18
Miracleman_(character),Miracleman (character),0,0,0
Misty_Knight,Misty Knight,15,13,21
Mockingbird_(Marvel_Comics),Mockingbird (Marvel Comics),13,11,21
Moon_Knight,Moon Knight,22,14,27
Moondragon,Moondragon,11,7,15
Moonglow_(comics),Moonglow (comics),0,1,1
Morbius,Morbius,9,16,19
Motormouth_(comics),Motormouth (comics),1,4,4
Ms._Marvel,Ms. Marvel,11,1,11
NFL_SuperPro,Phil Grayfield,0,1,1
Nightmask,Nightmask,5,3,5
Nightwatch_(character),Nightwatch (character),1,3,4
Noh-Varr,Noh-Varr,4,18,18
Nomad_(Marvel_Comics),Nomad (Marvel Comics),5,4,6
Northstar_(character),Northstar (character),4,14,17
Nova_(Richard_Rider),Nova (Richard Rider),16,11,21
Ogre_(Marvel_Comics),Ogre (Marvel Comics),0,0,0
Outlaw_(Marvel_Comics),Outlaw (Marvel Comics),6,5,9
Oya_(comics),Oya (comics),0,3,3
Paladin_(comics),Paladin (comics),5,10,13
Patsy_Walker,Patsy Walker,7,10,13
Peggy_Carter,Peggy Carter,3,0,3
Phil_Urich,Phil Urich,5,3,5
Phoenix_Force,Phoenix (Guardians of the Galaxy),24,17,32
Phyla-Vell,Phyla-Vell,7,8,9
Power_Man_(Victor_Alvarez),Power Man (Victor Alvarez),2,4,4
Powerhouse_(Marvel_Comics),Powerhouse (Marvel Comics),1,4,4
Puck_(Marvel_Comics),Puck (Marvel Comics),5,8,9
Quasar_(character),Quasar (character),24,3,24
Quicksilver_(Marvel_Comics),Quicksilver (Marvel Comics),10,10,15
Rachel_Summers,Rachel Summers,16,19,24
Radian_(Morituri),Radian (Morituri),4,6,6
Radioactive_Man_(comics),Radioactive Man (comics),4,8,11
Ravage_2099,Ravage 2099,3,2,4
Raza_Longknife,Raza Longknife,2,5,5
Red_Guardian,Red Guardian,5,5,8
Red_Raven_(Marvel_Comics),Red Raven (Dania),2,3,5
Red_Wolf_(comics),Red Wolf (comics),1,9,9
Redneck_(comics),Redneck (comics),0,1,1
Ricochet_(comics),Ricochet (comics),2,4,6
Rikki_Barnes,Rikki Barnes,3,6,6
Robbie_Baldwin,Robbie Baldwin,6,13,15
Rocket_Raccoon,Rocket Raccoon,10,8,16
Rockman_(character),Rockman (character),0,2,2
Rockslide_(character),Rockslide (character),3,6,7
Rom_the_Space_Knight,Rom the Space Knight,8,8,15
Ronin_(Marvel_Comics),Ronin (Marvel Comics),4,5,7
Ruby_Summers,Ruby Summers,0,2,2
Rusty_Collins,Rusty Collins,2,3,4
Sabra_(character),Sabra (character),3,9,10
Satana_(Marvel_Comics),Satana (Marvel Comics),4,7,10
Scaredycat,Scaredycat,3,3,3
Scarlet_Scarab,Scarlet Scarab,0,2,2
Scarlet_Spider,Scarlet Spider,8,3,8
Scarlet_Witch,Scarlet Witch,28,14,32
Scatterbrain_(Morituri),Scatterbrain (Morituri),2,2,2
Scorpio_(Marvel_Comics),Scorpio (Marvel Comics),0,2,2
Sean_and_Chris,Sean and Chris,0,0,0
Sentry_(Robert_Reynolds),Sentry (Robert Reynolds),9,6,12
Shamrock_(comics),Shamrock (comics),0,8,8
Shang-Chi,Shang-Chi,13,11,18
Shatterstar,Shatterstar,3,3,5
She-Hulk,She-Hulk,29,20,37
She-Hulk_(Lyra),She-Hulk (Lyra),2,6,6
Shear_(character),Shear (character),1,2,2
Shuri_(character),Shuri (character),3,9,10
Silencer_(comics),Silencer (comics),0,2,2
Silhouette_(comics),Silhouette (comics),0,2,2
Silk_(character),Silk (character),10,4,12
Skull_the_Slayer,Skull the Slayer,1,3,3
Snapdragon_(Morituri),Snapdragon (Morituri),2,3,3
Solarman,Solarman,0,0,0
Solo_(Marvel_Comics),Solo (Marvel Comics),1,12,13
Solomon_Kane_(comics),Solomon Kane (comics),0,1,1
Speed_(character),Speed (character),3,6,7
Spider-Bitch_(Ashley_Barton),Spider-Bitch (Ashley Barton),2,15,16
Spider-Girl,Spider-Girl,5,12,14
Spider-Man,Spider-Man,106,9,106
Spider-Man_(Marvel_Mangaverse),Spider-Man (Marvel Mangaverse),0,3,3
Spider-Man_Noir,Spider-Man Noir,7,5,9
Spider-UK,Spider-UK,2,8,8
Spider-Woman,Spider-Woman,10,12,17
Spider-Woman_(Gwen_Stacy),Spider-Woman (Gwen Stacy),12,14,18
Spider-Woman_(Jessica_Drew),Spider-Woman (Jessica Drew),16,11,22
Spitfire_(character),Spitfire (character),5,5,6
Star_Brand,Star Brand,8,11,16
Star-Lord,Star-Lord,12,10,17
Starhawk_(character),Starhawk (character),2,5,6
Starr_the_Slayer,Starr the Slayer,2,3,3
Steel_Spider,Steel Spider,2,3,4
Stingray_(Marvel_Comics),Stingray (Marvel Comics),1,7,8
Storm_(Marvel_Comics),Storm (Marvel Comics),20,16,27
Straw_Man_(comics),Straw Man (comics),0,2,2
Super_Rabbit,Super Rabbit,0,0,0
Surge_(Marvel_Comics),Surge (Marvel Comics),3,2,5
Synapse_(character),Synapse (character),2,0,2
Tarantula_(Marvel_Comics),Tarantula (Marvel Comics),6,9,13
The_Union_(Marvel),The Union (Marvel),2,2,2
The_Witness_(character),The Witness (character),1,0,1
Thena,Thena,2,1,3
Thin_Man_(character),Thin Man (character),3,1,4
Thor_Girl,Thor Girl,3,2,4
Thunderbolt_(Marvel_Comics),Thunderbolt (Marvel Comics),0,2,2
Thunderclap_(comics),Thunderclap (comics),0,1,1
Timeslip_(comics),Timeslip (comics),1,2,2
Toro_(character),Toro (character),4,4,7
Toxyn,Toxyn,3,2,3
Turbo_(comics),Turbo (comics),3,3,5
Two-Gun_Kid,Two-Gun Kid,4,4,6
Typeface_(character),Typeface (character),1,3,4
U.S._Agent,U.S. Agent,6,20,21
Ulysses_Bloodstone,Ulysses Bloodstone,2,1,3
Union_Jack_(Joseph_Chapman),Union Jack (Joseph Chapman),6,6,7
Union_Jack_(Marvel_Comics),Union Jack (Marvel Comics),8,5,8
Ursa_Major_(character),Ursa Major (character),0,4,4
Vance_Astrovik,Vance Astrovik,5,8,11
Venom_(character),Venom (character),17,21,29
Vindicator_(comics),Vindicator (comics),5,4,6
Vulcan_(Marvel_Comics),Vulcan (Marvel Comics),9,8,11
Vyking,Vyking,3,2,3
War_Machine,War Machine,12,4,16
Werewolf_by_Night,Werewolf by Night,7,13,15
White_Tiger_(Heroes_for_Hire),White Tiger (Heroes for Hire),1,3,3
White_Tiger_(comics),White Tiger (comics),2,5,5
Whizzer_(Robert_Frank),Whizzer (Robert Frank),6,6,8
Wild_Child_(character),Wild Child (character),0,3,3
Will_o'_the_Wisp_(comics),Will o' the Wisp (comics),1,2,3
William_Burnside_(character),William Burnside (character),3,4,5
Wolverine_(Ultimate_Marvel_character),Wolverine (Ultimate Marvel character),6,8,11
Wolverine_(character),Wolverine (character),60,17,63
Xorn,Xorn,4,8,9
Yelena_Belova,Yelena Belova,2,6,7
Yo-Yo_Rodriguez,Yo-Yo Rodriguez,0,0,0
Zombie_(comics),Zombie (comics),0,4,4
